snippet,label,source
"import Foundation

class ClassA {
    weak var refToClassB: ClassB?
    
    deinit {
        print(""ClassA deinitialized"")
    }
}

class ClassB {
    weak var refToClassA: ClassA?
    
    deinit {
        print(""ClassB deinitialized"")
    }
}",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

func readInput() -> String {
    let input = readLine() ?? """"
    var buffer: [Character] = Array(repeating: "" "", count: 10)
    
    let range = min(input.count, 10)
    for i in 0..<range {
        buffer[i] = input[input.index(input.startIndex, offsetBy: i)]
    }
    
    return String(buffer)
}

print(""Enter your input:"")
let result = readInput()
print(""Result: \(result)"")",Safe,ayshajavd_hf_labeled_dataset
"import os
import shlex

class UserInput:
    def __init__(self):
        self.user_input = """"

    def get_user_input(self):
        self.user_input = input(""Enter your input: "")

def main():
    user_input = UserInput()
    user_input.get_user_input()
    # Escape user input to prevent command injection
    escaped_user_input = shlex.quote(user_input.user_input)
    os.system(""echo "" + escaped_user_input)

if __name__ == ""__main__"":
    main()",Safe,ayshajavd_hf_labeled_dataset
"class SecureClass
  def initialize(user_input)
    @user_input = user_input
  end

  def process_user_input
    begin
      # Only allow safe operations here
      if @user_input.match?(/^[a-zA-Z0-9\s]*$/)
        eval(@user_input)
      else
        raise ""Invalid input detected.""
      end
    rescue => e
      puts ""Error processing user input: #{e}""
    end
  end
end

user_input = ""puts 'Hello, World!'""
secure_object = SecureClass.new(user_input)
secure_object.process_user_input",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import subprocess

class SafePickle(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', 'You have been hacked'],))

safe_data = pickle.dumps(SafePickle())
pickle.loads(safe_data)",Safe,ayshajavd_hf_labeled_dataset
"import ast

def safe_eval(user_input):
    try:
        # Parse the user input into an AST (Abstract Syntax Tree)
        tree = ast.parse(user_input, mode='eval')
        
        # Check if the tree contains only literals (no variables, functions, etc.)
        for node in ast.walk(tree):
            if not isinstance(node, (ast.Expression, ast.Num, ast.Str, ast.Bytes, ast.NameConstant)):
                raise ValueError('Unsafe input')
                
        # Evaluate the AST
        return eval(compile(tree, '<input>', mode='eval'))
        
    except Exception:
        print('Invalid input')

user_input = input(""Enter something: "")
result = safe_eval(user_input)
if result is not None:
    print(f""Result: {result}"")",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""bufio""
	""errors""
	""fmt""
	""os""
	""os/exec""
	""strings""
)

func main() {
	reader := bufio.NewReader(os.Stdin)
	fmt.Println(""Enter your command:"")
	userInput, _ := reader.ReadString('\n')
	userInput = strings.TrimSuffix(userInput, ""\n"")

	err := executeCommand(userInput)
	if err != nil {
		fmt.Println(""Error:"", err)
	}
}

func executeCommand(command string) error {
	args := strings.Fields(command)
	if len(args) == 0 {
		return errors.New(""No command provided"")
	}

	cmd := exec.Command(args[0], args[1:]...)
	cmd.Stdout = os.Stdout
	cmd.Stderr = os.Stderr

	err := cmd.Run()
	if err != nil {
		return err
	}

	return nil
}",Safe,ayshajavd_hf_labeled_dataset
"require 'sinatra'
require 'securerandom'

ALLOWED_CLASSES = [String, NilClass, TrueClass, FalseClass, Symbol, Numeric]

def safe_eval(code)
  allowed_methods = ALLOWED_CLASSES.flat_map { |klass| klass.instance_methods - Object.instance_methods }
  allowed_constants = ALLOWED_CLASSES.flat_map { |klass| klass.constants.map { |c| klass.const_get(c) } }
  allowed_keywords = []

  begin
    eval(code, binding, ""(allowed_methods)"", allowed_methods, allowed_constants, allowed_keywords)
  rescue SyntaxError => e
    return ""Syntax error: #{e}""
  rescue => e
    return ""Error: #{e}""
  end
end

get '/' do
  data = params[:data]
  safe_eval(data) if data
end",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import os
import subprocess

class SafePickle(object):
    def __init__(self, cmd):
        self.cmd = cmd

def pikcy_dumps(obj):
    return pickle.dumps(obj, protocol=0)

def pikcy_loads(serialized):
    return pickle.loads(serialized)

def execute_command(cmd):
    subprocess.call(cmd, shell=True)

if __name__ == ""__main__"":
    safe_pickle = SafePickle('echo ""Hacked!"" > /tmp/hacked.txt')
    serialized_data = pikcy_dumps(safe_pickle)
    deserialized_data = pikcy_loads(serialized_data)
    execute_command(deserialized_data.cmd)",Safe,ayshajavd_hf_labeled_dataset
"package main

import ""fmt""

func main() {
    var buffer [10]int
    for i := 0; i < 10; i++ { // The loop condition was changed from 'i <= 10' to 'i < 10'
        buffer[i] = i
    } Hawk:
    fmt.Println(buffer)
}",Safe,ayshajavd_hf_labeled_dataset
